colct_stdde,sle_site_domn,prices_prdlst_id,goods_nm,shop_nm,anals_trget_pc,Price,expsr_ordr,job_id,kf,Rand
2020-05-21,search.shopping.naver.com,F012050,KF94 크린웰 황사마스크 1개 - 이보소,이보소,4080,4080,36,490008,94,0.645004495
2020-05-06,search.shopping.naver.com,F012050,KF94/KF80마스크 대형 일회용 마스크(5매/개별포장) - 스마트올팜,스마트올팜,10500,2100,42,490015,94,0.645014087
2020-04-22,search.shopping.naver.com,F012050,[도부마스크] KF94 대형 10매 외 CM 1 화생방용 화재용 마스크 믿을 수 있는 국내생산 빠른 배송 - 티몬,티몬,36960,3696,52,490015,94,0.645098277
2020-02-19,search.shopping.naver.com,F012091,W.J 1급 N95 (KF94)방진 방역마스크 1개 - 쿠팡,쿠팡,4300,,96,490008,94,0.645208518
2020-03-14,search.shopping.naver.com,F012050,[초등학생] 모나리자 황사마스크 _KF80 (중형) - 사당맘,사당맘,3950,3950,32,490013,80,0.645245855
2020-02-16,search.shopping.naver.com,F012091,유한킴벌리 크리넥스 황사마스크 뉴 KF80 대형 - 한별기프트마켓,한별기프트마켓,1120,,2,490009,80,0.645276312
2020-02-21,search.shopping.naver.com,F012091,메이앤 푸룸 마스크 KF94 1개 미세먼지 황사 - 11번가,11번가,3500,,62,490008,94,0.64529221
2020-05-28,search.shopping.naver.com,F012050,SK 외 KF94 미세먼지 마스크 10매 대형 덴탈 마스크 일회용 - G9,G9,28900,2890,16,490015,94,0.645364011
2020-04-01,search.shopping.naver.com,F012050,(당일출고)국산 KF94 마스크 미세 대형 5매입 - G마켓,G마켓,21640,4328,4,490015,94,0.64543269
2020-03-11,search.shopping.naver.com,F012050,KF94 식약처 인증 미세먼지 차단 마스크 대형 5개 - 티니주아,티니주아,29500,5900,45,490015,94,0.645462837
2020-05-20,search.shopping.naver.com,F012050,퓨어케어 방역 황사마스크 KF94 대형 화이트(백색) 1매입*10봉 - 11번가,11번가,19400,1940,61,490015,94,0.645463065
2020-04-14,search.shopping.naver.com,F012050,[티몬데이] 히트상품 퓨어케어 KF94 황사마스크 대형 10매 개별포장 4월 8일 재고확보 대형 개별포장 - 티몬,티몬,29900,2990,36,490015,94,0.645542361
2020-02-16,search.shopping.naver.com,F012091,기타 대박이네 하이가드 방역마스크 KF94 대형 흰색 1개 - 쿠팡,쿠팡,3000,,89,490008,94,0.645556537
2020-05-28,search.shopping.naver.com,F012050,[엠에이치케어] 쓸엠에이치케어 미세먼지마스크 KF80 대형 (1입) 여름마스크 - 위메프,위메프,2000,2000,18,490013,80,0.645609666
2020-05-21,search.shopping.naver.com,F012050,닥터퓨리 미세먼지 황사마스크 KF94 대형 10개 - 11번가,11번가,15130,1513,10,490002,94,0.645630343
2020-05-12,search.shopping.naver.com,F012050,웰킵스 4중필터 스마트 소형 대형 KF94 마스크 미세먼지 차단 일회용마스크 개별포장 - 11번가,11번가,2780,2780,66,490015,94,0.645642095
2020-04-13,search.shopping.naver.com,F012050,"KF94 대형 마스크 1개 (5매) x 5개 (총25매입), 바이러스, 황사, 미세먼지 - 동백꽃상회",동백꽃상회,70000,2800,32,490008,94,0.645740755
2020-05-24,search.shopping.naver.com,F012050,애니프리 KF80 필터 사용 황사 마스크 10매/당일출고 - 인터파크,인터파크,14000,1400,5,490013,80,0.645777833
2020-04-21,search.shopping.naver.com,F012050,숨쉬고 KF80 대형 황사마스크 5매 화이트 개별포장 미세먼지마스크 흰색 성인용 남여공용 - 쿠팡,쿠팡,18500,3700,69,490013,80,0.645820674
2020-04-08,search.shopping.naver.com,F012050,늘푸른 황사마스크 KF80 중형 화이트 10매-10개 개별포장 - 인터파크,인터파크,34240,3424,55,490013,80,0.645896481
2020-05-15,search.shopping.naver.com,F012050,"웰킵스 KF94 마스크 대형 1개씩판매,재고확보 - 11번가",11번가,2660,2660,20,490008,94,0.645925606
2020-05-22,search.shopping.naver.com,F012050,기타 KF94 황사방역미세먼지 [익일출고] 대형마스크 1개 랜덤발송 - 쿠팡,쿠팡,2400,2400,29,490008,94,0.646015701
2020-04-30,search.shopping.naver.com,F012050,마스크 KF80 대형 흰색 [뉴크린웰] 마스크 KF80 대형 흰색 - 티몬,티몬,2590,2590,64,490013,80,0.646030554
2020-05-21,search.shopping.naver.com,F012050,KF80마스크 퓨어 마스크 - 옥션,옥션,2970,2970,61,490013,80,0.646167122
2020-05-04,search.shopping.naver.com,F012050,(대량판매)세이프크린 KF94 마스크 - 20매 화이트 대형 (1개 5매포장) - 니드마스크,니드마스크,59000,2950,5,490008,94,0.646171736
2020-04-18,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 BLUE ONLY - 인터파크,인터파크,4150,4150,16,490008,94,0.646182295
2020-05-04,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 늘푸른마스크 - 인터파크,인터파크,4150,4150,17,490008,94,0.646183285
2020-04-18,search.shopping.naver.com,F012050,숨쉬고 KF80 대형 황사마스크 5매 화이트 개별포장 미세먼지마스크 흰색 성인용 남여공용 - 쿠팡,쿠팡,18500,3700,62,490013,80,0.646208862
2020-05-11,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 늘푸른마스크 - 옥션,옥션,4650,4650,39,490008,94,0.646260762
2020-02-17,search.shopping.naver.com,F012091,테라브레스 미세먼지 마스크 KF94 뽀로로 소형1개 - 11번가,11번가,2380,,14,490008,94,0.646340609
2020-05-16,search.shopping.naver.com,F012050,국산 KF94 마스크 미세먼지 대형 10매입 - G마켓,G마켓,38600,3860,78,490015,94,0.646431148
2020-04-11,search.shopping.naver.com,F012050,국산 kf94 마스크 대형 (1인1개한정) - 도그몰,도그몰,1980,1980,22,490008,94,0.646526983
2020-04-26,search.shopping.naver.com,F012050,하늬숨 kf94 4중필터 마스크 대형1매 코로나미세먼지 - 인터파크,인터파크,1660,1660,65,490015,94,0.646566668
2020-05-08,search.shopping.naver.com,F012050,크린숨 방역마스크 KF94 황사 미세먼지 코로나 대형 - 인터파크,인터파크,2300,2300,5,490015,94,0.646571629
2020-03-20,search.shopping.naver.com,F012050,(당일출고)국산 KF94 마스크 미세먼지 대형10매입 - G마켓,G마켓,47320,4732,76,490015,94,0.646619506
2020-02-29,search.shopping.naver.com,F012091,[더샵스토어] 인기 프리미엄 4중필터 프리텍 dust마스크 KF80 대형 1개입 - 위메프,위메프,7270,,25,490013,80,0.646705006
2020-02-15,search.shopping.naver.com,F012091,[B2K] 프라임 1회용 황사마스크 KF94 1매입 1개 - 쿠팡,쿠팡,5900,,100,490008,94,0.6467238
2020-04-06,search.shopping.naver.com,F012050,당일발송 KF94 미세먼지 마스크 대형 개별포장 5매 - G마켓,G마켓,18500,3700,78,490015,94,0.646767966
2020-04-08,search.shopping.naver.com,F012050,국산 kf80 마스크 대형 - 도그몰,도그몰,4500,4500,24,490013,80,0.646791107
2020-02-11,search.shopping.naver.com,F012091,일동 푸른숲 보령 5why 중외 좋은숨 동아 더스논 KF94 미세먼지 황사마스크 KF99 KF80 어린이 - 오렌지팜,오렌지팜,3000,,1,490003,94,0.646864397
2020-04-01,search.shopping.naver.com,F012050,방역 마스크 KF94 대형 화이트 일회용 개별 포장 1개 - 파이닉스 공조냉동,파이닉스 공조냉동,4050,4050,25,490008,94,0.646869009
2020-05-23,search.shopping.naver.com,F012050,인가드 KF94 대형마스크 색상/브랜드 랜덤발송 10매 - 옥션,옥션,20000,2000,73,490015,94,0.647231862
2020-02-18,search.shopping.naver.com,F012091,동아제약 KF94 황사 미세먼지 마스크 더스논 소형 끈조절 방역마스크 1매입 - 약사뿐사뿐,약사뿐사뿐,2500,,12,490003,94,0.647378445
2020-04-22,search.shopping.naver.com,F012050,"[국산]아레카 KF94 입체 마스크 대형 성인용 5매입,그레이 황사 미세먼지 코로나 입체 - 핫플레이스샵",핫플레이스샵,18000,3600,26,490015,94,0.647423829
2020-05-16,search.shopping.naver.com,F012050,몬스터건강 에코원 1매 대형마스크KF94 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,몬스터건강,7900,7900,31,490001,94,0.647473678
2020-03-17,search.shopping.naver.com,F012050,KF94 마스크 대형 (5매) 코로나 마스크 (국내발송) - 옥션,옥션,28900,5780,72,490015,94,0.647480739
2020-05-07,search.shopping.naver.com,F012050,KF94/KF80마스크 대형 일회용 마스크(5매/개별포장) - 스마트올팜,스마트올팜,10500,2100,44,490015,94,0.647539335
2020-04-26,search.shopping.naver.com,F012050,식약청인증 KF94 보건용마스크(황사마스크) 흰색 대형(1개) - 11번가,11번가,3500,3500,34,490008,94,0.647622046
2020-05-25,search.shopping.naver.com,F012050,매입 웰킵스 KF94 황사마스크 대형 10매입 - 티몬,티몬,25030,2503,80,490015,94,0.647672866
2020-05-18,search.shopping.naver.com,F012050,엠플러스 국산 미세먼지 황사마스크 KF94 화이트 1개 - G마켓,G마켓,2230,2230,51,490008,94,0.647714842
2020-04-30,search.shopping.naver.com,F012050,기타 KF94 황사방역미세먼지 [익일출고] 대형마스크 1개 랜덤발송 - 쿠팡,쿠팡,2400,2400,27,490008,94,0.647733121
2020-02-27,search.shopping.naver.com,F012091,크린가드 황사마스크 수프림 KF80 1매 - 11번가,11번가,3500,,9,490013,80,0.64776805
2020-05-24,search.shopping.naver.com,F012050,성인용 대형 KF94 네퓨어 일회용 미세먼지 황사 마스크 20매(4팩) 국내생산 - 드리미샵,드리미샵,51800,2590,17,490015,94,0.647814252
2020-03-30,search.shopping.naver.com,F012050,애니프리 KF80 인증 필터 사용 마스크 대형 10매(I024) - G마켓,G마켓,25520,2552,40,490013,80,0.647822414
2020-05-03,search.shopping.naver.com,F012050,QUQU 더안심 황사 미세먼지 방역 마스크 KF94 - 정품파트너점,정품파트너점,2300,2300,4,490008,94,0.647897813
2020-05-09,search.shopping.naver.com,F012050,웰킵스 KF94 황사마스크 대형 10매입 마스크 대형 10매입 - 티몬,티몬,26580,2658,61,490015,94,0.648033089
