no,date,collectDatetime,jobId,nsMallName,productName,sellPrice,sequenceInPage,deliveryFee,collectUrl,품절퇴장여부,비고,등급,매수
31,2020-04-15,2.02E+13,490001,햇살스토아,파인텍8301 1급방진마스크 국산 산업용마스크 - 햇살스토아,2950,31,3500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,,1
32,2020-04-15,2.02E+13,490001,햇살스토아,파인텍 8301 1급방진마스크 국산 산업용마스크 ev8301 3m8822 - 햇살스토아,3400,32,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,,
33,2020-04-15,2.02E+13,490001,아리랑툴스,파인텍 네퓨어 8301 1급 방진마스크 1각20매 - 아리랑툴스,52000,33,3500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,,20
34,2020-04-15,2.02E+13,490001,철모아,[철모아]국산 파인텍 네퓨어 1급 안면부 여과식 방진마스크 8301 1통 20개 KF94 - 철모아,1700,34,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,KF94,20
35,2020-04-15,2.02E+13,490001,마이시카고,(100매) KF94 황사 방역 코로나방지 일회용 마스크 대형 / 소형 뉴네퓨어 네퓨어kf94 브랜드랜덤 발송 - 마이시카고,298000,35,,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,KF94,100
36,2020-04-15,2.02E+13,490002,라비쉬 마켓,KF94 마스크 식약처허가 마스크 황사마스크 대형 개별1매 - 라비쉬 마켓,3400,1,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,1
37,2020-04-15,2.02E+13,490002,소녀상점,닥터퓨리 kf94 뽑아쓰는 마스크 소형 30매입 - 소녀상점,75000,2,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,30
38,2020-04-15,2.02E+13,490002,티몬,닥터퓨리 KF94 황사마스크 KN95 유한킴벌리 어린이용 수술용 의료용 덴탈마스크 3D 블랙 패션마스크 5시이전 구매시 당일발송 - 티몬,14470,3,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,덴탈,KN95,10
39,2020-04-15,2.02E+13,490002,G마켓,닥터퓨리 KF94 미세먼지 황사마스크 10개 - G마켓,29590,4,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,10
40,2020-04-15,2.02E+13,490002,옥션,닥터퓨리 KF94 미세먼지 황사마스크 10개 - 옥션,26890,5,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,10
41,2020-04-15,2.02E+13,490002,kouzhao,닥터퓨리 kf94 소형 마스크 개별포장 식약처 - kouzhao,2800,6,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,1
42,2020-04-15,2.02E+13,490002,샤샤프렌즈,"마스크에 붙이는 항균지(부착 필터 패치)(부착가능제품 웰킵스, 유한킴벌리, 닥터퓨리 등) - 샤샤프렌즈",25900,7,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,패치,,
43,2020-04-15,2.02E+13,490002,whynotmall,일회용 마스크 10매 KN95 방진 코로나 크린가드 웰킵스 유한킴벌리 닥터퓨리 X - whynotmall,25000,8,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,방진,KN95,10
44,2020-04-15,2.02E+13,490002,G마켓,닥터퓨리 미세먼지 마스크 KF94 대형 한박스 20개 - G마켓,67800,9,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
